algorithm,array_type,size,time_us,char_comparisons
MSDRadixSort,reversed,1500,3315,0
MSDRadixSortWithSwitch,reversed,1500,3009,54638
QuickSort,almost_sorted,1500,10985,288325
MergeSort,almost_sorted,1500,7748,18760
StringQuickSort,almost_sorted,1500,3567,68407
StringMergeSort,almost_sorted,1500,12392,6824
MSDRadixSort,almost_sorted,1500,3004,0
MSDRadixSortWithSwitch,almost_sorted,1500,3087,57899
QuickSort,random,1600,11743,285721
MergeSort,random,1600,8759,20744
StringQuickSort,random,1600,2990,60171
StringMergeSort,random,1600,13866,13622
MSDRadixSort,random,1600,2693,0
MSDRadixSortWithSwitch,random,1600,2907,49858
QuickSort,reversed,1600,13250,361681
MergeSort,reversed,1600,7653,13028
StringQuickSort,reversed,1600,3538,74609
StringMergeSort,reversed,1600,13258,6347
MSDRadixSort,reversed,1600,3271,0
MSDRadixSortWithSwitch,reversed,1600,3382,58725
QuickSort,almost_sorted,1600,12103,312754
MergeSort,almost_sorted,1600,8349,20154
StringQuickSort,almost_sorted,1600,3338,72580
StringMergeSort,almost_sorted,1600,13022,7329
MSDRadixSort,almost_sorted,1600,3297,0
MSDRadixSortWithSwitch,almost_sorted,1600,3330,63174
QuickSort,random,1700,12302,304092
MergeSort,random,1700,9215,22323
StringQuickSort,random,1700,3499,64694
StringMergeSort,random,1700,15242,14552
MSDRadixSort,random,1700,3061,0
MSDRadixSortWithSwitch,random,1700,3112,54425
QuickSort,reversed,1700,14417,384740
MergeSort,reversed,1700,8685,13856
StringQuickSort,reversed,1700,3951,78890
StringMergeSort,reversed,1700,13811,6742
MSDRadixSort,reversed,1700,3671,0
MSDRadixSortWithSwitch,reversed,1700,3459,63002
QuickSort,almost_sorted,1700,13092,335166
MergeSort,almost_sorted,1700,8494,21835
StringQuickSort,almost_sorted,1700,3501,76406
StringMergeSort,almost_sorted,1700,13834,7986
MSDRadixSort,almost_sorted,1700,3513,0
MSDRadixSortWithSwitch,almost_sorted,1700,3604,66381
QuickSort,random,1800,12264,321021
MergeSort,random,1800,9539,23946
StringQuickSort,random,1800,3574,73043
StringMergeSort,random,1800,15263,15535
MSDRadixSort,random,1800,3444,0
MSDRadixSortWithSwitch,random,1800,3495,61543
QuickSort,reversed,1800,14823,406756
MergeSort,reversed,1800,8617,14929
StringQuickSort,reversed,1800,3677,83538
StringMergeSort,reversed,1800,15049,7044
MSDRadixSort,reversed,1800,3922,0
MSDRadixSortWithSwitch,reversed,1800,3748,67093
QuickSort,almost_sorted,1800,13051,351677
MergeSort,almost_sorted,1800,9223,23116
StringQuickSort,almost_sorted,1800,4152,79216
StringMergeSort,almost_sorted,1800,14754,8579
MSDRadixSort,almost_sorted,1800,3564,0
MSDRadixSortWithSwitch,almost_sorted,1800,3734,70550
QuickSort,random,1900,13440,343028
MergeSort,random,1900,9949,25537
StringQuickSort,random,1900,3809,74793
StringMergeSort,random,1900,16173,16525
MSDRadixSort,random,1900,3655,0
MSDRadixSortWithSwitch,random,1900,3596,64715
QuickSort,reversed,1900,15202,429630
MergeSort,reversed,1900,9290,15851
StringQuickSort,reversed,1900,3893,88894
